HEADER
"WONUM","DESCRIPTION","LOCATION","ASSETNUM","STATUS","STATUSDATE"
"11984","","NZ-GP3-TWW/BLDG","HL00000237527","CLOSE","2009-09-11 14:09:04.423"
"11985","","NZ-GP3-TWW/BLDG","HL00000237528","CLOSE","2009-09-11 14:09:04.423"
"11986","","NZ-GP3-TWW/BLDG","HL00040008964","CLOSE","2009-09-11 14:09:04.423"
"11987","","NZ-GP3-TWW/BLDG","HL00000237529","CLOSE","2009-09-11 14:09:04.423"
"11988","","NZ-GP3-TWW/BLDG","HL00000398220","CLOSE","2009-09-11 14:09:04.423"
"11989","","NZ-GP3-TWW/BLDG","HL00040008970","CLOSE","2009-09-11 14:09:04.423"
"11990","","NZ-GP3-TWW/BLDG","HL00000237530","CLOSE","2009-09-11 14:09:04.423"
"11991","","NZ-GP3-TWW/BLDG","HL00000237531","CLOSE","2009-09-11 14:09:04.423"
"11992","","NZ-GP3-TWW/BLDG","HL00040008900","CLOSE","2009-09-11 14:09:04.423"
"11993","","NZ-GP3-TWW/BLDG","HL00000237532","CLOSE","2009-09-11 14:09:04.423"
"11994","","NZ-GP3-TWW/BLDG","HL00000398221","CLOSE","2009-09-11 14:09:04.423"
"11995","","NZ-GP3-TWW/BLDG","HL00040008852","CLOSE","2009-09-11 14:09:04.423"
"11996","","NZ-GP3-TWW/BLDG","HL00000237534","CLOSE","2009-09-11 14:09:04.423"
"11997","","NZ-GP3-TWW/BLDG","HL00000237535","CLOSE","2009-09-11 14:09:04.423"
"11998","","NZ-GP3-TWW/BLDG","HL00000237555","CLOSE","2009-09-11 14:09:04.423"
"11999","","NZ-GP3-TWW/BLDG","HL00000237556","CLOSE","2009-09-11 14:09:04.423"
"12000","","NZ-GP3-TWW/BLDG","HL00040008912","CLOSE","2009-09-11 14:09:04.423"
"12001","","NZ-GP3-TWW/BLDG","HL00000398955","CLOSE","2009-09-11 14:09:04.423"
"12002","","NZ-GP3-TWW/BLDG","HL00040008884","CLOSE","2009-09-11 14:09:04.423"
"12003","","NZ-GP3-TWW/BLDG","HL00000398957","CLOSE","2009-09-11 14:09:04.423"
"12004","","NZ-GP3-TWW/BLDG","HL00000398958","CLOSE","2009-09-11 14:09:04.423"
"12005","","NZ-GP3-TWW/BLDG","HL00040008862","CLOSE","2009-09-11 14:09:04.423"
"12006","","NZ-GP3-TWW/BLDG","HL00000398960","CLOSE","2009-09-11 14:09:04.423"
"12007","","NZ-GP3-TWW/BLDG","HL00000398961","CLOSE","2009-09-11 14:09:04.423"
"12008","","NZ-GP3-TWW/BLDG","HL00040008851","CLOSE","2009-09-11 14:09:04.423"
"12009","","NZ-GP3-TWW/BLDG","HL00040008852","CLOSE","2009-09-11 14:09:04.423"
"12010","","NZ-GP3-TWW/BLDG","HL00040008936","CLOSE","2009-09-11 14:09:04.423"
"12012","","NZ-GP3-TWW/BLDG","HL00040008881","CLOSE","2009-09-14 12:00:21.921"
"12013","","NZ-GP3-TWW/BLDG","HL00040008882","CLOSE","2009-09-14 12:00:21.921"
"12014","","NZ-GP3-TWW/BLDG","HL00040008893","CLOSE","2009-09-14 12:00:21.921"
"12015","","NZ-GP3-TWW/BLDG","HL00040008894","CLOSE","2009-09-14 12:00:21.921"
"12016","","NZ-GP3-TWW/BLDG","HL00040008957","CLOSE","2009-09-14 12:00:21.921"
"12017","","NZ-GP3-TWW/BLDG","HL00040008958","CLOSE","2009-09-14 12:00:21.921"
"12018","","NZ-GP3-TWW/BLDG","HL00040008868","CLOSE","2009-09-14 12:00:21.921"
"12019","","NZ-GP3-TWW/BLDG","HL00040008965","CLOSE","2009-09-14 12:00:21.921"
"12020","","NZ-GP3-TWW/BLDG","HL00040008966","CLOSE","2009-09-14 12:00:21.921"
"12021","","NZ-GP3-TWW/BLDG","HL00040008888","CLOSE","2009-09-14 12:00:21.921"
"12022","","NZ-GP3-TWW/BLDG","HL00040008971","CLOSE","2009-09-14 12:00:21.921"
